"preusuel";"sexratio_prenom";"n"
"abdonise";0;30
"abdool";1;27
"abdou";1;953
"abdou-aziz";1;27
"abdou-karim";1;41
"abdou-rahman";1;25
"abdou-rahmane";1;20
"abdouallah";1;33
"abdoukarim";1;27
"abdoul";1;1286
"abdoul-aziz";1;149
"abdoul-kader";1;34
"abdoul-karim";1;163
"abdoul-malik";1;60
"abdoul-rahman";1;20
"abdoul-wahab";1;22
"abdoula";1;54
"abdoulah";1;156
"abdoulahi";1;30
"abdoulai";1;28
"abdoulatif";1;23
"abdoulay";1;121
"abdoulaye";1;3162
"abdoulaziz";1;50
"abdoulhakim";1;25
"abdoulkader";1;35
"abdoulkarim";1;81
"abdoulla";1;25
"abdoullah";1;700
"abdoullaye";1;35
"abdourahamane";1;56
"abdourahim";1;47
"abdourahman";1;94
"abdourahmane";1;281
"abdouramane";1;35
"abdourazak";1;21
"abdourrahman";1;46
"abdourrahmane";1;48
"abdoussamad";1;20
"abdrahamane";1;78
"abdrahim";1;64
"abdrahman";1;69
"abdrahmane";1;75
"abdramane";1;163
"abdsamad";1;84
"abdul";1;370
"abdul-aziz";1;22
"abdul-kadir";1;30
"abdul-karim";1;24
"abdul-malik";1;34
"abdul-rahman";1;39
"abdul-samet";1;33
"abdulah";1;50
"abdulaziz";1;36
"abdulbaki";1;47
"abdulhamid";1;50
"abdulkadir";1;132
"abdulkerim";1;48
"abdulla";1;45
"abdullah";1;1342
"abdulrahman";1;50
"abdulsamet";1;29
"abdurahman";1;72
"abdurrahim";1;36
"abdurrahman";1;216
"abdussamed";1;43
"abed";1;572
"abel";0,992377613826275;24533
"abelard";1;35
"abelardo";1;23
"abele";0;23
"abelia";0;96
"abélia";0;33
"abelina";0;67
"abeline";0;171
"abelino";1;24
"abella";0;133
"abelle";0;172
"abert";1;22
"abes";1;68
"abess";1;27
"abesse";1;20
"abi";0;86
"abib";1;99
"abiba";0;169
"abibatou";0;69
"abibou";1;25
"abid";1;128
"abida";0;65
"abidin";1;27
"abidine";1;23
"abie";0;31
"abigael";0,0145118733509235;1516
"abigaël";0;769
"abigaelle";0;1365
"abigaëlle";0;915
"abigail";0;1693
"abigaïl";0;392
"abilash";1;40
"abilio";1;276
"abimael";1;27
"abinash";1;49
"abinaya";0;128
"abiola";1;21
"abir";0,0485436893203883;515
"abira";0;61
"abiram";1;22
"abirami";0;48
"abiramy";0;29
"abire";0;55
"abisan";1;29
"abisha";0;99
"abishan";1;72
"abishek";1;24
"abla";0;404
"ablaye";1;80
"abner";1;23
"abou";0,966666666666667;780
"abou-bakar";1;49
"abou-baker";1;26
"abou-bakr";1;154
"abou-sofiane";1;26
"aboubacar";1;1361
"aboubacari";1;23
"aboubacary";1;39
"aboubacry";1;39
"aboubaka";1;27
"aboubakar";1;1009
"aboubakari";1;78
"aboubakary";1;149
"aboubaker";1;135
"aboubakr";1;241
"aboubakri";1;23
"aboubakry";1;75
"aboudou";1;74
"aboudoulaye";1;40
"aboudramane";1;29
"aboulay";1;21
"aboulaye";1;170
"abraham";1;2298
"abrahim";1;42
"abram";1;50
"abrar";0,204081632653061;98
"abriel";1;166
"abril";0;34
"absa";0;56
"absatou";0;43
"abu";1;32
"abu-bakr";1;20
"abubakar";1;37
"aby";0;607
"aby-gaelle";0;29
"abygael";0;348
"abygaël";0;227
"abygaelle";0;789
"abygaëlle";0;469
"abygail";0;143
"abygaïl";0;54
"acacia";0;69
"acacio";1;67
"ace";1;23
"acelia";0;22
"acelya";0;376
"açelya";0;63
"acene";1;27
"achata";0;21
"acher";1;63
"acheraf";1;27
"achida";0;20
"achil";1;66
"achile";1;208
"achille";0,987179487179487;14118
"achilles";1;105
"achillia";0;29
"achim";1;52
"achley";0;30
"achmi";1;22
"achot";1;30
"achouak";0;48
"achour";1;335
"achoura";0;24
"achraf";0,983752620545073;1908
"achrafe";1;46
"achref";1;48
"achwak";0;28
"acia";0;80
"acil";0,641891891891892;148
"acile";0;72
"acya";0;23
"acyl";1;41
"ada";0,0654761904761905;1008
"adael";1;21
"adal";1;26
"adalbert";1;453
"adalgisa";0;25
"adaline";0;163
"adalyne";0;28
"adam";0,998593506405477;59012
"adâm";1;29
"âdam";1;25
"adam's";1;24
"adama";0,716447368421053;3040
"adame";0,950060901339829;1642
"adamm";1;30
"adamo";1;82
"adams";1;218
"adan";1;993
"adane";1;51
"adao";1;99
"adar";1;136
"adassa";0;45
"adda";0,472868217054264;387
"addam";1;33
"addel";1;32
"addil";1;35
"addison";0,3;130
"addolorata";0;37
"addy";1;27
"addyson";0;27
"adea";0;38
"adeel";1;32
"adel";1;8024
"adèl";1;26
"adela";0;620
"adéla";0;49
"adelaida";0;33
"adelaide";0,0270975511842633;9964
"adelaïde";0;578
"adélaide";0;53
"adélaïde";0;1391
"adelais";0;32
"adelbert";1;117
"adele";0;1575
"adéle";0;21
"adèle";0,00261179263949347;37905
"adeleine";0;30
"adelheid";0;69
"adelia";0;896
"adélia";0;241
"adelice";0;44
"adelie";0;1766
"adélie";0;643
"adelin";1;772
"adelina";0;1678
"adélina";0;91
"adeline";0;54263
"adéline";0;52
"adelino";1;365
"adelio";1;93
"adélio";1;21
"adelisa";0;33
"adelise";0;64
"adelita";0;32
"adella";0;24
"adelle";0;137
"adelma";0;31
"adelmo";1;35
"adelphe";1;70
"adelphine";0;349
"adelson";1;138
"adelya";0;61
"adélya";0;25
"adelyne";0;269
"adelys";0;35
"adem";1;8572
"adèm";1;62
"adema";0;26
"ademar";1;46
"ademe";1;150
"aden";0,944029850746269;536
"adena";0;28
"adenise";0;20
"adenora";0;66
"adénora";0;20
"adeodat";1;30
"aderito";1;120
"adham";1;313
"adhan";1;91
"adhem";1;56
"adhemar";1;179
"adhen";1;45
"adi";0,783018867924528;106
"adia";0;90
"adiana";0;21
"adiaratou";0;47
"adib";1;424
"adiba";0;42
"adidi";0;25
"adidja";0;36
"adiel";1;33
"adija";0;25
"adil";1;4934
"adila";0;125
"adile";0,837606837606838;351
"adilia";0;47
"adille";1;23
"adilson";1;96
"adim";1;55
"adin";1;66
"adina";0;137
"adine";0;181
"adis";1;56
"adisa";0;29
"adissa";0;23
"adisson";0;30
"aditi";0;26
"aditya";1;65
"adixia";0;184
"adja";0;439
"adjara";0;31
"adjaratou";0;33
"adji";0,300813008130081;123
"adjia";0;69
"adjila";0;77
"adjira";0;23
"adjmal";1;31
"adjoua";0;26
"adlan";1;125
"adlane";1;218
"adlen";1;156
"adlene";1;147
"adlène";1;21
"adler";1;21
"adli";1;23
"adline";0;121
"adlyne";0;27
"admir";1;52
"adna";0;63
"adnan";1;860
"adnane";1;919
"adnen";1;72
"adnene";1;65
"adolf";1;56
"adolfo";1;176
"adolie";0;25
"adoline";0;23
"adolph";1;59
"adolpha";0;43
"adolphe";0,992578289989742;16573
"adolphine";0;2205
"adon";1;22
"adonai";0,721649484536082;97
"adonaï";0,68;75
"adonay";0;25
"adonia";0;72
"adonie";0;22
"adonis";1;1502
"adonise";0;37
"adonys";1;40
"adora";0;38
"adoracion";0;66
"adoration";0;92
"adou";1;22
"adra";0;36
"adria";0;168
"adriaan";1;31
"adrian";1;4897
"adriàn";1;24
"adriana";0;2906
"adriane";0;483
"adriann";1;43
"adrianna";0;343
"adrianne";0;185
"adriano";1;2317
"adriel";1;500
"adrielle";0;45
"adrien";0,999837155250263;135098
"adrienne";0;34918
"adrya";0;22
"adryan";1;183
"adryana";0;67
"adryann";1;21
"adryen";1;138
"ady";0,568627450980392;51
"adyan";1;25
"adyl";1;105
"adyson";0;35
"adysson";0;37
"aedan";1;651
"aédan";1;152
"aëdan";1;71
"aedann";1;28
"aeden";1;114
"aëden";1;22
"ael";0,81335952848723;509
"aël";0,884615384615385;182
"aela";0;521
"aéla";0;52
"aëla";0;152
"aelaig";0;23
"aelia";0;486
"aélia";0;221
"aëlia";0;63
"aelig";0,559139784946237;279
"aëlig";0,448275862068966;58
"aeline";0;42
"aéline";0;24
"aëline";0;22
"aelis";0;193
"aélis";0;80
"aëlis";0;41
"aelita";0;43
"aella";0;55
"aelle";0;106
"aëlle";0;45
"aelya";0;79
"aélya";0;54
"aëlya";0;41
"aelyn";0;23
"aelyne";0;28
"aelynn";0;31
"aëlynn";0;43
"aelys";0;400
"aélys";0;229
"aëlys";0;370
"aena";0;26
"aéna";0;22
"aenaelle";0;36
"aenor";0;202
"aénor";0;89
"aenora";0;27
"aeris";0;120
"aéris";0;69
"aeron";1;49
"aeryn";0;86
"aeryne";0;23
"aerys";0;26
"aesa";0;75
"afaf";0;314
"afafe";0;54
"afdal";1;21
"afeda";0;21
"afef";0;172
"affaf";0;34
"affan";1;21
"affef";0;22
"affif";1;51
"affoue";0;21
"afi";0;35
"afia";0;59
"afid";1;53
"afida";0;147
"afif";1;322
"afifa";0;150
"afnan";0;50
"afnane";0;167
"afnene";0;24
"afonso";1;207
"afra";0;51
"afrah";0;44
"africa";0;28
"afsa";0;38
"aftab";1;25
"afton";0;48
"aftone";0;25
"afzal";1;26
"agapito";1;21
"agar";0;22
"agash";1;45
"agata";0;208
"agate";0;262
"agatha";0;550
"agathe";0,00436969774480965;46914
"agathon";1;78
"agenor";1;229
"aghilas";1;101
"aghiles";1;161
"agim";1;32
"agit";1;50
"aglae";0;1500
"aglaé";0;318
"aglaë";0;31
"aglaee";0;275
"aglaée";0;21
"agnan";0,725055432372506;451
"agnel";1;95
"agnela";0;38
"agnella";0;24
"agnes";0;157
"agnès";0,00244758965627328;112764
"agnès-marie";0;57
"agnesa";0;38
"agnese";0;184
"agniela";0;43
"agnies";0;52
"agnieszka";0;37
"agop";1;90
"agostina";0;36
"agostinho";1;285
"agostino";1;321
"agrippine";0;22
"agueda";0;59
"aguibou";1;43
"agustin";1;192
"agustina";0;66
"agustinho";1;63
"agustino";1;22
"ah";0,581818181818182;55
"ahad";1;29
"ahamada";1;70
"ahamadou";1;61
"ahamed";1;60
"aharon";1;216
"ahava";0;49
"ahcen";1;85
"ahcene";1;615
"ahcène";1;53
"ahkim";1;29
"ahlam";0;874
"ahlame";0;274
"ahlan";1;26
"ahlem";0;1284
"ahleme";0;137
"ahlima";0;38
"ahllam";0;20
"ahmad";1;912
"ahmadou";1;236
"ahmadou-bamba";1;21
"ahmar";1;26
"ahmat";1;45
"ahmed";1;19820
"ahmed-ali";1;31
"ahmed-amin";1;24
"ahmed-amine";1;128
"ahmed-yacine";1;51
"ahmed-yassine";1;80
"ahmel";0;23
"ahmet";1;2460
"ahmet-can";1;36
"ahmetcan";1;20
"ahmid";1;117
"ahna";0;25
"ahou";0;34
"ahoua";0;26
"ahouva";0;26
"ahron";1;34
"ahsan";1;33
"ahsen";0;74
"ahsene";1;22
"ahyan";1;27
"ai";0;46
"aia";0;32
"aiana";0;22
"aicha";0;11123
"aïcha";0;3728
"aichat";0;32
"aichata";0;125
"aïchata";0;43
"aichatou";0;122
"aïchatou";0;50
"aiche";0;73
"aichetou";0;31
"aichouche";0;35
"aid";1;38
"aida";0;2557
"aïda";0;830
"aidan";1;1405
"aïdan";1;643
"aidann";1;45
"aïdann";1;40
"aidee";0;130
"aidem";1;23
"aiden";0,966467065868263;835
"aïden";1;552
"aidi";0;22
"aifa";0;21
"aigline";0;33
"aignan";1;44
"aikel";1;40
"aiko";0,239130434782609;138
"aïko";0;61
"aila";0;50
"aïla";0;25
"aïlan";1;20
"aileen";0;286
"aïleen";0;42
"ailine";0;48
"ailis";0;39
"ailsa";0;23
"ailvin";1;29
"aïly";0;26
"ailyne";0;30
"aïlyne";0;29
"ailys";0;61
"aïlys";0;52
"aima";0;302
"aimable";0,893827160493827;1215
"aimad";1;232
"aimade";1;26
"aiman";1;377
"aïman";1;39
"aimane";0,929878048780488;328
"aïmane";1;43
"aimar";1;22
"aime";0,995966084275437;38920
"aimé";1;927
"aimed";1;83
"aimee";0;66
"aimée";0,00326059694005518;27909
"aimel";0;23
"aimeline";0;127
"aimelyne";0;51
"aimen";1;815
"aïmen";1;69
"aimene";1;70
"aimeric";1;744
"aimerick";1;135
"aimery";1;288
"aimeryc";1;28
"aimie";0;957
"aimine";1;25
"aimmee";0;49
"aimran";1;29
"aimrane";1;23
"aimy";0;1327
"aina";0,166936790923825;617
"aïna";0;449
"ainara";0;176
"aïnara";0;22
"aines";0;85
"ainhoa";0;1067
"aïnhoa";0;262
"aini";0;56
"ainis";1;30
"ainoa";0;230
"aïnoa";0;83
"ainoha";0;70
"aïnoha";0;28
"ainsley";1;23
"aintzane";0;26
"aioub";1;31
"airelle";0;98
"aires";1;27
"airon";1;27
"aïron";1;27
"airy";1;60
"aisam";1;33
"aisata";0;36
"aisatou";0;47
"aise";0;35
"aisetou";0;34
"aisha";0;544
"aïsha";0;394
"aishwarya";0;59
"aisling";0;38
"aislinn";0;62
"aissa";0,877642536835362;3122
"aïssa";0,789529914529915;936
"aissam";1;416
"aïssam";1;81
"aissame";1;37
"aissar";1;20
"aissata";0;1813
"aïssata";0;543
"aissatou";0;1583
"aïssatou";0;500
"aisse";0;420
"aissé";0;25
"aïsse";0;22
"aïssé";0;118
"aisseta";0;138
"aïsseta";0;23
"aissetou";0;349
"aïssetou";0;61
"aissia";0;105
"aissya";0;28
"aita";0;46
"aitana";0;127
"aïtana";0;41
"aitor";1;179
"aivy";0;28
"aïvy";0;57
"aïwen";1;25
"aixandre";1;28
"aiya";0;204
"aiyana";0;306
"aïyana";0;21
"aiyanna";0;49
"aiyoub";1;26
"aiza";0;58
"aïza";0;20
"ajad";1;21
"ajan";1;90
"ajana";0;22
"ajanthan";1;27
"ajar";0;64
"ajay";1;138
"ajda";0;21
"ajdin";1;36
"ajla";0;77
"ajmal";1;20
"ajna";0;30
"aka";1;29
"akan";1;29
"akane";0;25
"akash";1;126
"akasya";0;29
"akay";1;22
"akbar";1;27
"akcel";1;27
"akeem";1;31
"akela";0;32
"akemi";0;39
"akheane";0;32
"akhesa";0;24
"akhil";1;21
"akhim";1;27
"akhmad";1;24
"akhmed";1;37
"akif";1;230
"akiko";0;33
"akil";1;218
"akila";0;627
"akilan";1;28
"akim";1;3693
"akima";0;467
"akime";1;46
"akin";1;282
"akina";0;39
"akio";1;37
"akira";0,775641025641026;156
"akissi";0;67
"akito";1;21
"akiva";1;52
"akli";1;675
"akmal";1;32
"ako";1;22
"akram";1;1766
"akrame";1;82
"akrem";1;40
"aksel";0,987165178571429;1792
"akshan";1;20
"akshara";0;62
"akshay";1;52
"akshaya";0;137
"akshayan";1;51
"aksil";1;521
"aksyl";1;20
"akym";1;29
"al";0,892857142857143;392
"al-amine";1;24
"al-hassan";1;46
"ala";0,489473684210526;190
"ala-eddine";1;64
"alaa";0,236220472440945;635
"alaâ";0;20
"alaa-eddine";1;45
"alabama";0;45
"aladdin";1;37
"aladin";1;210
"aladine";1;41
"aladji";1;90
"alae";0,2;305
"alaeddine";1;197
"alaedine";1;44
"alaia";0;229
"alaïa";0;36
"alain";0,999932922053453;506873
"alain-claude";1;34
"alain-françois";1;21
"alain-jean";1;24
"alain-michel";1;46
"alain-paul";1;24
"alain-philippe";1;21
"alain-pierre";1;88
"alaina";0;90
"alaïna";0;23
"alaine";0;28
"alais";0;751
"alaïs";0;292
"alan";1;19984
"alana";0;1864
"alanah";0;43
"alandra";0;22
"alane";1;303
"alanis";0;245
"alann";1;688
"alanna";0;146
"alannah";0;108
"alanzo";1;78
"alaoua";1;29
"alaoui";1;29
"alara";0;43
"alaric";1;694
"alarick";1;39
"alasane";1;26
"alassan";1;78
"alassana";1;24
"alassane";1;1073
"alastair";1;36
"alaya";0,218181818181818;110
"alayna";0;108
"alays";0;20
"alaz";1;20
"alba";0;1621
"albain";1;194
"alban";0,996607067973009;26231
"albana";0;20
"albane";0;9670
"albanie";0;1044
"albanne";0;184
"albano";1;223
"albans";1;25
"albaro";1;21
"alberic";1;1747
"albéric";1;224
"alberick";1;23
"alberie";0,5625;48
"albert";0,99951028403526;204200
"alberta";0;465
"alberte";0;9160
"alberthe";0;79
"alberti";1;20
"albertin";1;29
"albertina";0;243
"albertine";0;28149
"albertino";1;67
"alberto";1;2105
"albertus";1;33
"albi";1;24
"albin";1;5049
"albina";0;431
"albine";0;1367
"albino";1;348
"albion";1;44
"albrecht";1;44
"alce";1;52
"alcee";1;71
"alcibiade";1;26
"alcida";0;161
"alcide";0,992843380126617;3633
"alcides";1;42
"alcidie";0;182
"alcime";1;382
"alcina";0;102
"alcinda";0;22
"alcine";0;29
"alcino";1;102
"alcyone";0;30
"alda";0;525
"alde";1;51
"aldebert";1;28
"aldegonde";0;109
"alden";1;24
"alderic";1;210
"aldéric";1;36
"alderick";1;31
"aldin";1;78
"aldina";0;178
"aldine";0;71
"aldino";1;28
"aldja";0;46
"aldjia";0;233
"aldo";1;3541
"aldonce";1;22
"aldric";1;1083
"aldrick";1;166
"aldrik";1;42
"aldrin";1;22
"aldwin";1;155
"alea";0;95
"aléa";0;20
"aleandro";1;77
"aléandro";1;20
"alec";1;1325
"alecia";0;86
"alécia";0;23
"alecio";1;34
"aleck";1;81
"aleena";0;65
"aleesha";0;24
"aleeza";0;28
"alegria";0;46
"aleina";0;36
"alejandra";0;76
"alejandro";1;554
"alek";1;231
"aleks";1;86
"aleksa";1;84
"aleksandar";1;637
"aleksander";1;181
"aleksandr";1;73
"aleksandra";0;522
"aleksandre";1;108
"aleksei";1;44
"alekseï";1;21
"aleksey";1;26
"aleksi";1;111
"aleksia";0;37
"aleksy";1;71
"alem";0,666666666666667;81
"alen";1;271
"alena";0;471
"aléna";0;179
"alenka";0;31
"alenzo";1;221
"ales";1;139
"alès";1;22
"alesandro";1;34
"alesia";0;261
"alésia";0;73
"alesio";1;39
"alessa";0;131
"alessandra";0;783
"alessandro";1;3304
"alessia";0;2310
"aléssia";0;39
"alessio";1;3902
"aléssio";1;40
"alessya";0;61
"alessyo";1;26
"aleth";0;806
"alette";0;28
"alev";0;192
"alex";0,985037735227235;30343
"alex-anne";0;20
"alexa";0;2052
"alexan";1;151
"alexandar";1;50
"alexander";1;2250
"alexandr";1;45
"alexandra";0,00032396708494417;92602
"alexandre";0,999280443113171;298795
"alexandre-benoît";1;26
"alexandria";0;36
"alexandrie";0;200
"alexandrina";0;231
"alexandrine";0;14043
"alexandro";1;583
"alexandros";1;83
"alexandru";1;395
"alexandry";0;23
"alexane";0;3552
"alexanne";0;287
"alexe";0;193
"alexei";1;200
"alexeï";1;48
"alexendre";1;20
"alexey";1;57
"alexi";0,988944168048646;1809
"alexia";0;36701
"aléxia";0;69
"alexian";1;644
"alexiana";0;23
"alexiane";0;2269
"alexianne";0;147
"alexias";0;48
"alexide";0;35
"alexie";0;1246
"alexin";1;107
"alexina";0;1209
"alexine";0;1708
"alexio";1;124
"alexis";0,997553716312635;147162
"aléxis";1;74
"alexy";0,984770436730123;4465
"alexya";0;260
"alexyan";1;20
"alexyane";0;40
"alexyne";0;22
"alexys";1;347
"aleya";0;20
"aleyna";0;2168
"aleyna-nur";0;20
"alezia";0;42
"alézia";0;28
"alezio";1;44
"alfa";1;48
"alfayed";1;31
"alfeo";1;32
"alfie";1;47
"alfio";1;118
"alfons";1;21
"alfonse";1;22
"alfonso";1;606
"alfousseny";1;26
"alfousseyni";1;21
"alfred";0,999589665653495;65800
"alfreda";0;5378
"alfréda";0;44
"alfrede";0,146919431279621;211
"alfredine";0;991
"alfredo";1;1130
"algia";0;60
"alhadji";1;29
"alhan";1;170
"alhassan";1;58
"alhassana";1;53
"alhassane";1;183
"alhena";0;40
"alhousseyni";1;28
"alhya";0;80
"ali";0,999011584232792;25293
"ali-can";1;20
"ali-eren";1;37
"ali-osman";1;47
"ali-riza";1;22
"alia";0;3045
"aliah";0;166
"aliana";0;162
"aliane";1;20
"alias";1;43
"aliaume";1;68
"alibert";1;100
"alic";1;37
"alica";0;34
"alican";1;119
"alice";0,000311671297714763;189302
"alice-anne";0;48
"alice-marie";0;28
"alicea";0;23
"alicia";0;47547
"aliciane";0;84
"alicio";1;22
"alicja";0;85
"alick";1;147
"alicya";0;540
"alida";0;2213
"alidor";1;94
"alie";0;41
"alienor";0;2678
"aliénor";0;1195
"aliette";0;3828
"alif";1;22
"alihan";1;122
"alihya";0;23
"aliihsan";1;20
"alija";1;20
"alik";1;73
"alika";0;43
"alim";1;324
"alima";0;756
"alimamy";1;24
"alimata";0;90
"alimatou";0;120
"alime";0;49
"alimou";1;22
"alin";0,955789473684211;475
"alina";0;1960
"alinda";0;28
"aline";0;89886
"aline-marie";0;29
"aliocha";1;223
"aliona";0;202
"aliosha";1;40
"aliou";1;644
"alioune";1;453
"alioune-badara";1;23
"alipio";1;42
"aliriza";1;29
"alis";0;84
"alisa";0;329
"alisan";1;35
"alise";0;321
"alisea";0;201
"aliséa";0;49
"alisee";0;311
"alisée";0;75
"alisha";0;343
"alishba";0;23
"alisia";0;113
"alison";0,00208755060728745;15808
"alisone";0;235
"alisonne";0;40
"alissa";0;1880
"alissandre";0;79
"alissar";0;31
"alisse";0;26
"alissia";0;991
"alisson";0;4331
"alissone";0;201
"alissonne";0;22
"alissya";0;152
"alistair";1;591
"alister";1;204
"alisya";0;40
"alita";0;25
"alix";0,262989476462244;30313
"alix-anne";0;56
"alix-marie";0;26
"alixan";1;46
"alixane";0;61
"alixe";0;1120
"alixia";0;495
"aliya";0;4301
"aliyaah";0;23
"aliyah";0;3080
"aliyana";0;22
"aliye";0;58
"aliyyah";0;39
"aliza";0;231
"alize";0;1556
