"abatteur";1
"abatteuse";0
"abbé";1
"abbesse";0
"abouteur";1
"abouteuse";0
"académicien";1
"académicienne";0
"accompagnateur";1
"accompagnatrice";0
"accordeur";1
"accordeuse";0
"accoupleur";1
"accoupleuse";0
"accouveur";1
"accouveuse";0
"accrocheur";1
"accrocheuse";0
"achemineur";1
"achemineuse";0
"acheteur";1
"acheteuse";0
"acousticien";1
"acousticienne";0
"acquéreur";1
"acquéreuse";0
"acteur";1
"actrice";0
"acuponcteur";1
"acuponctrice";0
"acupuncteur";1
"acupunctrice";0
"adaptateur";1
"adaptatrice";0
"adjoint";1
"adjointe";0
"adjudant";1
"adjudante";0
"administrateur";1
"administratrice";0
"aérodynamicien";1
"aérodynamicienne";0
"aérostier";1
"aérostière";0
"afficheur";1
"afficheuse";0
"affileur";1
"affileuse";0
"affineur";1
"affineuse";0
"affouilleur";1
"affouilleuse";0
"affranchisseur";1
"affranchisseuse";0
"affréteur";1
"affréteuse";0
"affuteur";1
"affuteuse";0
"agencier";1
"agencière";0
"agente";0
"agrafeur";1
"agrafeuse";0
"agrandisseur";1
"agrandisseuse";0
"agréé";1
"agréée";0
"agréeur";1
"agréeuse";0
"agrégé";1
"agrégée";0
"agriculteur";1
"agricultrice";0
"agrotechnicien";1
"agrotechnicienne";0
"aiguilleteur";1
"aiguilleteuse";0
"aiguilleur";1
"aiguilleuse";0
"aiguiseur";1
"aiguiseuse";0
"ajusteur";1
"ajusteuse";0
"aléseur";1
"aléseuse";0
"alevineur";1
"alevineuse";0
"algoculteur";1
"algocultrice";0
"alimentateur";1
"alimentatrice";0
"alsineur";1
"alsineuse";0
"amareyeur";1
"amareyeuse";0
"amateur";1
"amatrice";0
"ambassadeur";1
"ambassadrice";0
"ambulancier";1
"ambulancière";0
"aménageur";1
"aménageuse";0
"amiral";1
"amirale";0
"amuseur";1
"amuseuse";0
"animalier";1
"animalière";0
"animateur";1
"animatrice";0
"annonceur";1
"annonceuse";0
"anodiseur";1
"anodiseuse";0
"anseur";1
"anseuse";0
"apiculteur";1
"apicultrice";0
"apiéceur";1
"apiéceuse";0
"appareilleur";1
"appareilleuse";0
"appariteur";1
"apparitrice";0
"appelante";0
"appéreur";1
"appéreuse";0
"applicateur";1
"applicatrice";0
"apprenti";1
"apprentie";0
"apprêteur";1
"apprêteuse";0
"approvisionneur";1
"approvisionneuse";0
"aquaculteur";1
"aquacultrice";0
"arboriculteur";1
"arboricultrice";0
"archéomagnéticien";1
"archéomagnéticienne";0
"archetier";1
"archetière";0
"argenteur";1
"argenteuse";0
"argentier";1
"argentière";0
"armateur";1
"armatrice";0
"armurier";1
"armurière";0
"aromaticien";1
"aromaticienne";0
"arpenteur";1
"arpenteuse";0
"arrangeur";1
"arrangeuse";0
"arrimeur";1
"arrimeuse";0
"arrondisseur";1
"arrondisseuse";0
"arroseur";1
"arroseuse";0
"artificier";1
"artificière";0
"artisan";1
"artisane";0
"asphalteur";1
"asphalteuse";0
"aspigiculteur";1
"aspigicultrice";0
"aspirant";1
"aspirante";0
"assainisseur";1
"assainisseuse";0
"assembleur";1
"assembleuse";0
"assesseur";1
"assesseure";0
"assistant";1
"assistante";0
"associé";1
"associée";0
"assortisseur";1
"assortisseuse";0
"assureur";1
"assureuse";0
"astaciculteur";1
"astacicultrice";0
"astrophysicien";1
"astrophysicienne";0
"atomicien";1
"atomicienne";0
"atrier";1
"atrière";0
"attaché";1
"attachée";0
"attacheur";1
"attacheuse";0
"audio-vidéotechnicien";1
"audio-vidéotechnicienne";0
"auditeur";1
"auditrice";0
"augustine";0
"aumônier";1
"aumônière";0
"auteur";1
"auteure";0
"automaticien";1
"automaticienne";0
"automatiseur";1
"automatiseuse";0
"autorisateur";1
"autorisatrice";0
"aviateur";1
"aviatrice";0
"aviculteur";1
"avicultrice";0
"avionneur";1
"avionneuse";0
"avitailleur";1
"avitailleuse";0
"aviveur";1
"aviveuse";0
"avocat";1
"avocate";0
"avoué";1
"avouée";0
"baigneur";1
"baigneuse";0
"balancier";1
"balancière";0
"balayeur";1
"balayeuse";0
"balisticien";1
"balisticienne";0
"bancbrocheur";1
"bancbrocheuse";0
"bancheur";1
"bancheuse";0
"banquier";1
"banquière";0
"barbotteur";1
"barbotteuse";0
"bardeautier";1
"bardeautière";0
"bardeur";1
"bardeuse";0
"barmaid";0
"barman";1
"baron";1
"baronne";0
"barreur";1
"barreuse";0
"basculeur";1
"basculeuse";0
"basketteur";1
"basketteuse";0
"bateleur";1
"bateleuse";0
"batelier";1
"batelière";0
"bâtonnier";1
"bâtonnière";0
"batteur";1
"batteuse";0
"bénédictin";1
"bénédictine";0
"benjamine";0
"bennier";1
"bennière";0
"bergère";0
"bernardin";1
"bernardine";0
"bétonneur";1
"bétonneuse";0
"bétonnier";1
"bétonnière";0
"betteravier";1
"betteravière";0
"beurrier";1
"beurrière";0
"bibliotechnicien";1
"bibliotechnicienne";0
"bichonneur";1
"bichonneuse";0
"bijoutier";1
"bijoutière";0
"biseauteur";1
"biseauteuse";0
"bitumeur";1
"bitumeuse";0
"blanchisseur";1
"blanchisseuse";0
"bobbeuse";0
"bobineur";1
"bobineuse";0
"bobinier";1
"bobinière";0
"boiseur";1
"boiseuse";0
"boisselier";1
